event,domain,tld,iso2,region,macro,role,finance_media,community,state_media,government,military,int_org,validated,actor_type
venezuela,windsorstar.com:443,NA,NA,NA,OTHER,PLATFORM,0,0,0,0,0,0,0,PLATFORM
venezuela,wrgc.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,wsiltv.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,3ba.com.au,au,AU,East Asia & Pacific,OTHER,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,965kvki.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,adventistworld.org,org,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,americanthinker.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,athens-times.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,atlantanewsfirst.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,b93.net,net,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,blackandteal.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,buckys5thquarter.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,bulawayo24.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,chathamstartribune.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,choteauacantha.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,club937.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,cochranetimespost.ca:443,NA,NA,NA,OTHER,PLATFORM,0,0,0,0,0,0,0,PLATFORM
venezuela,coladaily.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,countypress.co.uk,uk,GB,Europe & Central Asia,OTHER,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,crookwellgazette.com.au,au,AU,East Asia & Pacific,OTHER,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,dailydemocrat.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,denbighshirefreepress.co.uk,uk,GB,Europe & Central Asia,OTHER,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,destructoid.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,dissexpress.co.uk,uk,GB,Europe & Central Asia,OTHER,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,edmontonexaminer.com:443,NA,NA,NA,OTHER,PLATFORM,0,0,0,0,0,0,0,PLATFORM
venezuela,edmontonjournal.com:443,NA,NA,NA,OTHER,PLATFORM,0,0,0,0,0,0,0,PLATFORM
venezuela,energeticcity.ca,ca,CA,North America,OTHER,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,fenlandcitizen.co.uk,uk,GB,Europe & Central Asia,OTHER,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,fitsnews.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,foxla.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,foxrochester.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,ghanaweb.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,globalreinsurance.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
